"","Gross.Charges.Itemcode","Gross.Charges.Description","Gross.Charges.CDM.Revenue.Code","Gross.Charges.HMC.DEFAULT","Gross.Charges.HMC.DEFAULT.Discount.Cash.Price","Gross.Charges.HB.UW.MEDICINE.SHARED.PURCHASED.LAB.SERVICES","Gross.Charges.HB.UW.MEDICINE.SHARED.PURCHASED.LAB.SERVICES.Discount.Cash.Price","Gross.Charges.HMC.DEFAULT..MOD.50.","Gross.Charges.HMC.DEFAULT..MOD.50..Discount.Cash.Price","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS.Discount.Cash.Price","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS..W.MOD.","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS..W.MOD..Discount.Cash.Price","Gross.Charges.CDM.Hcpcs","Gross.Charges.CDM.Modifier","Gross.Charges.Note"
"5708","03600046","HC OPER RM TYPE A  1.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5709","03600048","HC OPER RM TYPE A  2.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5710","03600050","HC OPER RM TYPE A  2.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5711","03600052","HC OPER RM TYPE A  2.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5712","03600053","HC OPER RM TYPE A  2.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5713","03600056","HC OPER RM TYPE A  3.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5714","03600058","HC OPER RM TYPE A  3.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5715","03600060","HC OPER RM TYPE A  3.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5716","03600062","HC OPER RM TYPE A  3.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5717","03600064","HC OPER RM TYPE A  4.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5718","03600066","HC OPER RM TYPE A  4.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5719","03600067","HC OPER RM TYPE A  4.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5720","03600069","HC OPER RM TYPE A  4.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5721","03600071","HC OPER RM TYPE A  5.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5722","03600073","HC OPER RM TYPE A  5.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5723","03600074","HC OPER RM TYPE A  5.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5724","03600075","HC OPER RM TYPE A  5.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5725","03600076","HC OPER RM TYPE A  6.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5726","03600077","HC OPER RM TYPE A  6.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5727","03600078","HC OPER RM TYPE A  6.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5728","03600079","HC OPER RM TYPE A  6.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5729","03600080","HC OPER RM TYPE A  7.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5730","03600081","HC OPER RM TYPE A  7.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5731","03600082","HC OPER RM TYPE A  7.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5732","03600083","HC OPER RM TYPE A  7.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5733","03600084","HC OPER RM TYPE A  8.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5734","03600099","HC OPER RM TYPE B   15  MIN","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5735","03600100","HC OPER RM TYPE B   30  MIN","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5736","03600101","HC OPER RM TYPE B   45  MIN","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5737","03600102","HC OPER RM TYPE B  1.00  HR","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5738","03600103","HC OPER RM TYPE B  1.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5739","03600104","HC OPER RM TYPE B  1.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5740","03600105","HC OPER RM TYPE B  1.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5741","03600106","HC OPER RM TYPE B  2.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5742","03600107","HC OPER RM TYPE B  2.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5743","03600108","HC OPER RM TYPE B  2.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5744","03600109","HC OPER RM TYPE B  2.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5745","03600110","HC OPER RM TYPE B  3.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5746","03600111","HC OPER RM TYPE B  3.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5747","03600112","HC OPER RM TYPE B  3.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5748","03600113","HC OPER RM TYPE B  3.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5749","03600114","HC OPER RM TYPE B  4.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5750","03600115","HC OPER RM TYPE B  4.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5751","03600116","HC OPER RM TYPE B  4.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5752","03600117","HC OPER RM TYPE B  4.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5753","03600118","HC OPER RM TYPE B  5.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5754","03600119","HC OPER RM TYPE B  5.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5755","03600120","HC OPER RM TYPE B  5.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5756","03600121","HC OPER RM TYPE B  5.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5757","03600122","HC OPER RM TYPE B  6.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5758","03600123","HC OPER RM TYPE B  6.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5759","03600124","HC OPER RM TYPE B  6.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5760","03600125","HC OPER RM TYPE B  6.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5761","03600126","HC OPER RM TYPE B  7.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5762","03600127","HC OPER RM TYPE B  7.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5763","03600128","HC OPER RM TYPE B  7.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5764","03600129","HC OPER RM TYPE B  7.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5765","03600130","HC OPER RM TYPE B  8.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5766","03600131","HC OPER RM TYPE B  8.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5767","03600132","HC OPER RM TYPE B  8.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5768","03600133","HC OPER RM TYPE B  8.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5769","03600134","HC OPER RM TYPE B  9.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5770","03600135","HC OPER RM TYPE B  9.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5771","03600136","HC OPER RM TYPE B  9.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5772","03600137","HC OPER RM TYPE B  9.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5773","03600138","HC OPER RM TYPE B 10.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5774","03600139","HC OPER RM TYPE B 10.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5775","03600140","HC OPER RM TYPE B 10.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5776","03600141","HC OPER RM TYPE B 10.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5777","03600142","HC OPER RM TYPE B 11.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5778","03600143","HC OPER RM TYPE B 11.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5779","03600144","HC OPER RM TYPE B 11.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5780","03600145","HC OPER RM TYPE B 11.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5781","03600146","HC OPER RM TYPE B 12.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5782","03600147","HC OPER RM TYPE B 12.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5783","03600148","HC OPER RM TYPE B 12.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5784","03600149","HC OPER RM TYPE B 12.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5785","03600150","HC OPER RM TYPE B 13.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5786","03600151","HC OPER RM TYPE B 13.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5787","03600152","HC OPER RM TYPE B 13.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5788","03600153","HC OPER RM TYPE B 13.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5789","03600154","HC OPER RM TYPE B 14.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5790","03600155","HC OPER RM TYPE B 14.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5791","03600156","HC OPER RM TYPE B 14.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5792","03600157","HC OPER RM TYPE B 14.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5793","03600158","HC OPER RM TYPE B 15.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5794","03600159","HC OPER RM TYPE B 15.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5795","03600160","HC OPER RM TYPE B 15.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5796","03600161","HC OPER RM TYPE B 15.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5797","03600162","HC OPER RM TYPE B 16.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5798","03600163","HC OPER RM TYPE B 16.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5799","03600164","HC OPER RM TYPE B 16.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5800","03600165","HC OPER RM TYPE B 16.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5801","03600166","HC OPER RM TYPE B 17.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5802","03600167","HC OPER RM TYPE B 17.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5803","03600168","HC OPER RM TYPE B 17.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5804","03600169","HC OPER RM TYPE B 17.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5805","03600170","HC OPER RM TYPE B 18.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5806","03600185","HC OPER RM TYPE C   15  MIN","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5807","03600186","HC OPER RM TYPE C   30  MIN","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5808","03600187","HC OPER RM TYPE C   45  MIN","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5809","03600188","HC OPER RM TYPE C  1.00  HR","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5810","03600189","HC OPER RM TYPE C  1.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5811","03600190","HC OPER RM TYPE C  1.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5812","03600191","HC OPER RM TYPE C  1.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5813","03600192","HC OPER RM TYPE C  2.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5814","03600193","HC OPER RM TYPE C  2.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5815","03600194","HC OPER RM TYPE C  2.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5816","03600195","HC OPER RM TYPE C  2.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5817","03600196","HC OPER RM TYPE C  3.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5818","03600197","HC OPER RM TYPE C  3.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5819","03600198","HC OPER RM TYPE C  3.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5820","03600199","HC OPER RM TYPE C  3.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5821","03600200","HC OPER RM TYPE C  4.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5822","03600201","HC OPER RM TYPE C  4.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5823","03600202","HC OPER RM TYPE C  4.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5824","03600203","HC OPER RM TYPE C  4.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5825","03600204","HC OPER RM TYPE C  5.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5826","03600205","HC OPER RM TYPE C  5.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5827","03600206","HC OPER RM TYPE C  5.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5828","03600207","HC OPER RM TYPE C  5.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5829","03600208","HC OPER RM TYPE C  6.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5830","03600209","HC OPER RM TYPE C  6.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5831","03600210","HC OPER RM TYPE C  6.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5832","03600211","HC OPER RM TYPE C  6.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5833","03600212","HC OPER RM TYPE C  7.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5834","03600213","HC OPER RM TYPE C  7.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5835","03600214","HC OPER RM TYPE C  7.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5836","03600215","HC OPER RM TYPE C  7.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5837","03600216","HC OPER RM TYPE C  8.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5838","03600217","HC OPER RM TYPE C  8.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5839","03600218","HC OPER RM TYPE C  8.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5840","03600219","HC OPER RM TYPE C  8.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5841","03600220","HC OPER RM TYPE C  9.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5842","03600221","HC OPER RM TYPE C  9.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5843","03600222","HC OPER RM TYPE C  9.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5844","03600223","HC OPER RM TYPE C  9.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5845","03600224","HC OPER RM TYPE C 10.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5846","03600225","HC OPER RM TYPE C 10.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5847","03600226","HC OPER RM TYPE C 10.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5848","03600227","HC OPER RM TYPE C 10.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5849","03600228","HC OPER RM TYPE C 11.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5850","03600229","HC OPER RM TYPE C 11.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5851","03600230","HC OPER RM TYPE C 11.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5852","03600231","HC OPER RM TYPE C 11.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5853","03600232","HC OPER RM TYPE C 12.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5854","03600233","HC OPER RM TYPE C 12.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5855","03600234","HC OPER RM TYPE C 12.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5856","03600235","HC OPER RM TYPE C 12.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5857","03600236","HC OPER RM TYPE C 13.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5858","03600237","HC OPER RM TYPE C 13.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5859","03600238","HC OPER RM TYPE C 13.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5860","03600239","HC OPER RM TYPE C 13.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5861","03600240","HC OPER RM TYPE C 14.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5862","03600241","HC OPER RM TYPE C 14.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5863","03600242","HC OPER RM TYPE C 14.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5864","03600243","HC OPER RM TYPE C 14.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5865","03600244","HC OPER RM TYPE C 15.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5866","03600245","HC OPER RM TYPE C 15.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5867","03600246","HC OPER RM TYPE C 15.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5868","03600247","HC OPER RM TYPE C 15.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5869","03600248","HC OPER RM TYPE C 16.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5870","03600249","HC OPER RM TYPE C 16.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5871","03600250","HC OPER RM TYPE C 16.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5872","03600251","HC OPER RM TYPE C 16.75 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5873","03600252","HC OPER RM TYPE C 17.00 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5874","03600253","HC OPER RM TYPE C 17.25 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
"5875","03600254","HC OPER RM TYPE C 17.50 HRS","360","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA
